Date,West Bank Casualties Since October 7,West Bank Injuries Since October 7,Gaza Casualties Since October 7,Gaza Injuries Since October 7,Israel Casualties Since October 7,Israel Injuries Since October 7,Source
10/22/2023,91,1734,4651,14245,1401,4941,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-16
10/21/2023,84,1653,4385,13561,1401,4941,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-15
10/20/2023,82,1425,4137,13162,1401,4638,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-14
10/19/2023,79,1434,3785,12500,1400,4629,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-13
10/18/2023,64,1284,3478,12500,1300,4562,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-12
10/17/2023,61,1230,3000,12500,1300,4229,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-11
10/16/2023,58,1176,2808,10850,1300,4121,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-10
10/15/2023,56,1173,2670,9600,1300,3621,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-9
10/14/2023,54,1151,2228,8744,1300,3621,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-8
10/13/2023,43,700,1900,7696,1300,3436,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-7
10/12/2023,33,500,1417,6268,1300,3391,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-6
10/11/2023,26,427,1100,5339,1200,3192,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-5
10/10/2023,19,332,830,4250,1000,2806,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-4
10/9/2023,17,295,687,3800,900,2616,https://www.ochaopt.org/content/escalation-gaza-strip-and-israel-flash-update-3
10/8/2023,13,191,413,2300,677,2000,https://www.ochaopt.org/content/escalation-gaza-strip-and-israel-flash-update-2
10/7/2023,3,30,198,1610,70,985,https://www.ochaopt.org/content/escalation-gaza-strip-and-israel-flash-update-1
