article_index,article_title,article_date,sentence,category,auto_tagged_voice
1253,Early Intelligence Links Palestinians to Blast,2023-10-19,"""The  U.S.  government  assesses  that  Israel  was  not  responsible  for  an  explosion  that  killed  hundreds  of  civilians  yesterday  at  the  Al  Ahli  Hospital  in  the  Gaza  Strip,""  said  Adrienne  Watson,  a  spokeswoman  for  the  National  Security  Council. ",palestine,ACTIVE
1253,Early Intelligence Links Palestinians to Blast,2023-10-19," The  group  has  denied  the  claim,  and  the  Hamas-run  Gazan  health  ministry  said  that  an  Israeli  strike  caused  the  blast,  which  it  said  killed  hundreds  of  Palestinians. ",palestine,ACTIVE
796,"Across the Mideast, protests erupt over the ‘horrific scenes’ in Gaza.",2023-10-18,"
Thousands  of  protesters  marched  in  grief,  fury  and  solidarity  across  the  Middle  East  on  Tuesday  night  and  Wednesday,  after  hundreds  of  Palestinian  civilians  were  killed  in  an  explosion  at  a  hospital  in  Gaza. ",palestine,PASSIVE
223,Passion for Palestinians' Cause Is Reignited in Arab Countries,2023-10-21,"""The  Israeli-Palestinian  conflict  was  relegated  to  the  background,  partly  because  of  apathy  and  partly  because  of  a  feeling  of  helplessness  that  was  pervasive  in  the  Arab  world,""  said  Lina  Khatib,  the  director  of  the  SOAS  Middle  East  Institute  at  the  University  of  London.The  climate  shifted  noticeably  after  Hamas,  the  Palestinian  group  that  controls  Gaza,  attacked  southern  Israel  on  Oct.  7  and  killed  roughly  1,400  people. ",israel,ACTIVE
223,Passion for Palestinians' Cause Is Reignited in Arab Countries,2023-10-21, That  unleashed  a  barrage  of  Israeli  airstrikes  on  the  crowded  and  impoverished  Gaza  Strip  that  Gaza  health  authorities  say  have  killed  thousands. ,palestine,ACTIVE
223,Passion for Palestinians' Cause Is Reignited in Arab Countries,2023-10-21,"One  lethal  strike  in  particular  in  the  nearly  two  weeks  of  bombardments  galvanized  outrage  over  the  treatment  of  Palestinians.On  Tuesday,  an  explosion  struck  a  Gaza  hospital  and  the  Hamas-run  health  ministry  in  the  territory  immediately  blamed  an  Israeli  airstrike  and  said  at  least  500  people  had  been  killed. ",palestine,PASSIVE
89,Thursday Briefing,2023-10-19,"
Biden  backs  Israel  on  hospital  explosion

Outrage  has  rippled  through  the  Arab  world  over  a  blast  that  killed  hundreds  at  a  hospital  in  Gaza. ",palestine,ACTIVE
604,Canada and France say that it is unlikely Israel was behind the Gaza hospital blast.,2023-10-22," The  Hamas-run  Health  Ministry  in  Gaza  has  said  the  explosion  killed  hundreds  of  people.
",palestine,ACTIVE
604,Canada and France say that it is unlikely Israel was behind the Gaza hospital blast.,2023-10-22, American  intelligence  agencies  have  assessed  that  between  100  and  300  people  were  killed. ,palestine,PASSIVE
1201,Is Saying Nothing Saying Something?,2023-10-22," It  is  hard  to  know,  for  certain,  precisely  why  that  was,  but  it  seems  a  fair  assumption  that  the  F.A.  believed  it  would  be  interpreted  as  taking  a  side  at  a  time  when  civilians  in  Gaza  were  suffering,  and  dying,  too. ",palestine,
