article_index,article_title,article_date,sentence,category
0,An Israeli diplomat is stabbed near the country’s embassy in China.,10/13/2023," The  violence  came  a  day  after  Israel  criticized  China  for  not  condemning  the  deadly  assault  by  Hamas  on  Israel  that  began  last  weekend  and  has  killed  more  than  1,300  people. ",israel
2,What it would mean to treat Hamas like ISIS,10/12/2023," As  I  read  reports  of  Hamas  terrorists  murdering  entire  families,  raping  Israeli  women  beside  the  bodies  of  their  dead  friends  and  dragging  Israeli  hostages  into  Gaza,  it  was  apparent  that  Hamas  had  chosen  to  behave  like  ISIS,  and  if  it  behaved  like  ISIS,  then  the  Israel  Defense  Forces  were  justified  in  treating  Hamas  in  Gaza  the  same  way  the  United  States  and  its  allies  treated  ISIS  in  Iraq.
",israel
4,The Morning: Biden arrives in Israel,10/18/2023,"
The  explosion,  evidently  from  a  missile,  killed  hundreds  of  people  and  injured  hundreds  more. ",palestine
4,The Morning: Biden arrives in Israel,10/18/2023," It  would  have  to  fight  on  two  fronts  and  defend  against  the  group’s  guerrillas.Israel’s  armed  forces  announced  the  establishment  of  a  humanitarian  region  in  the  south.Hamas  said  its  head  of  military  intelligence  was  killed  in  an  Israeli  strike.During  the  initial  attack,  Hamas  members  stole  victims’  phones  to  broadcast  violent  messages.A  New  York  law  firm  rescinded  job  offers  to  three  students  who  they  said  led  groups  at  Harvard  and  Columbia  that  blamed  Israel  for  the  attack  by  Hamas.Vladimir  Putin  is  in  Beijing  for  meetings  while  Biden  is  in  Israel,  highlighting  the  world’s  new  divisions.
",palestine
6,‘United Because of This Disaster’: Israelis Rush to Volunteer After Hamas Attacks,10/13/2023,"
As  Israel  signals  that  a  ground  invasion  of  Gaza  could  come  any  day,  its  shocked  and  traumatized  citizens  are  pouring  their  anxious  energy  into  raising  funds  and  collecting  goods  for  those  in  need:  soldiers;  survivors  of  the  atrocities;  hospitals  treating  the  thousands  of  wounded;  and  people  whose  loved  ones  were  killed,  are  still  missing  or  are  being  held  hostage  in  Gaza.
",israel
6,‘United Because of This Disaster’: Israelis Rush to Volunteer After Hamas Attacks,10/13/2023,"
“I  don’t  know  anyone  who  doesn’t  know  someone  who  was  there  and  who  was  hurt  or  killed  or  kidnapped,”  she  said  of  the  attacks  in  the  Israeli  villages  near  Gaza’s  border  and  at  the  musical  festival  that  ultimately  became  a  killing  field.
",israel
9,"War Is All Around Us, but I Still Have Hope",10/14/2023," Hamas  certainly  had  no  concern  for  international  prosecution  or  for  the  fate  of  the  liberal  rules-based  world  order  when  it  slaughtered  over  1,300  Israelis. ",israel
9,"War Is All Around Us, but I Still Have Hope",10/14/2023," Much  of  the  world  will  view  Israel's  unfolding  and  brutal  retaliation  --  so  far,  more  than  400  Palestinian  children  have  been  killed,  according  to  the  Palestinian  health  ministry  --  as  justified.Worse  still,  voters  around  the  world  don't  seem  to  mind:  Many  are  choosing  authoritarian  populists  instead  of  democratic  rule. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"

More  than  900  people  have  been  killed  in  Israel,  the  Israel  Defense  Forces  said. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"

At  least  687  Palestinians  were  killed  and  at  least  3,726  injured,  authorities  in  Gaza  said. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," A  Red  Crescent  paramedic,  who  was  not  authorized  to  speak  to  the  media  and  requested  anonymity,  said  60  people  were  killed  there.

",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"
Israeli  strikes  also  hit  four  mosques  in  the  Shati  refugee  camp  Monday,  according  to  Gaza  authorities,  toppling  their  domes  and  killing  worshippers  inside. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"
President  Joe  Biden  said  at  least  11  U.S.  citizens  were  confirmed  killed  in  the  Hamas  attack,  and  an  unknown  number  were  unaccounted  for. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"
Many  other  foreign  nationals  were  reported  dead,  wounded  or  missing,  including  12  Thais  killed,  11  kidnapped  and  nine  wounded,  according  to  their  government. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023, France  said  two  of  its  nationals  were  killed  and  14  were  unaccounted  for.,israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"

More  than  100  people  were  killed  over  the  weekend  in  a  Hamas  assault  on  an  Israeli  kibbutz,  Be’eri,  said  Moti  Bukjin,  a  spokesperson  for  the  ZAKA  relief  organization,  which  was  recovering  bodies  there  Monday. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," There  were  killed  children  there,”  he  said,  adding  that  there  were  dozens  of  dead  militants  in  the  town  as  well.

",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,At  least  109  people  were  killed  by  gunmen  who  swarmed  into  a  weekend  music  festival  at  a  venue  in  Israel  3  miles  from  the  Gaza  border  Saturday. ,israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"

Hamas’  armed  wing,  the  Qassam  Brigades,  said  four  Israelis  were  killed  in  one  of  the  Israeli  airstrikes,  along  with  the  Palestinian  gunmen  who  were  holding  them  captive,  a  claim  that  could  not  be  independently  verified.
",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"
Israeli  rescue  workers  were  still  extracting  the  bodies  of  civilians  who  were  killed  in  their  homes  by  Hamas  gunmen  Saturday.
",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















Mourners  at  the  funeral  of  Staff  Sgt.  Yuval  Ben  Yaakov,  an  Israeli  soldier  killed  when  Palestinian  militants  entered  Israel,  in  the  cemetery  in  Kfar  Menachem,  Israel,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)


















Mourners  at  the  funeral  for  a  Palestinian  killed  in  an  Israeli  airstrike  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Yousef  Masoud/The  New  York  Times)



















Mourners  at  the  funeral  of  Col.  Roi  Levy,  an  Israeli  soldier  killed  when  Palestinian  militants  infiltrated  Israel,  in  the  Mount  Herzl  military  cemetery  in  Jerusalem,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Uriel  Sinai/The  New  York  Times)



















Mourners  at  the  funeral  of  Staff  Sgt.  Yuval  Ben  Yaakov,  an  Israeli  soldier  killed  when  Palestinian  militants  entered  Israel,  in  the  cemetery  in  Kfar  Menachem,  Israel,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















A  woman  mourns  near  the  body  of  a  person  killed  after  Israel’s  retaliation  in  Gaza  City,  on  Sunday,  Oct.  8,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















Israeli  soldiers  check  the  bodies  of  people  killed  in  Kfar  Azza,  a  village  just  across  the  border  from  Gaza  that  was  attacked  by  Palestinian  gunmen,  in  Israel,  Tuesday,  Oct.  10,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















Mourners  of  Avi  Zakuto,  who  was  killed  by  Hamas  militants  after  they  infiltrated  Israel,  walk  his  body  to  his  grave  during  his  funeral  in  Be’er  Sheva,  Israel,  Oct.  10,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















Residents  carry  the  body  of  a  person  who  was  killed  after  Israel’s  retaliation  near  the  Al-Shifa  Hospital,  in  Gaza  City  on  Sunday,  Oct.  8,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023,"



















Israeli  soldiers  check  the  bodies  of  people  killed  in  Kfar  Azza,  a  village  just  across  the  border  from  Gaza  that  was  attacked  by  Palestinian  gunmen,  in  Israel,  Tuesday,  Oct.  10,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















Mourners  at  the  funeral  of  Palestinians  killed  in  Israeli  airstrikes  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Yoni  Asher  via  The  New  York  Times)




















Mourners  at  the  funeral  of  Staff  Sgt.  Yuval  Ben  Yaakov,  an  Israeli  soldier  killed  when  Palestinian  militants  entered  Israel,  in  the  cemetery  in  Kfar  Menachem,  Israel,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Sergey  Ponomarev/The  New  York  Times)



















Mourners  at  the  funeral  for  a  Palestinian  killed  in  an  Israeli  airstrike  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Doug  Mills/The  New  York  Times)



















Mourners  at  the  funeral  for  a  Palestinian  killed  in  an  Israeli  airstrike  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















Mourners  of  Avi  Zakuto,  who  was  killed  by  Hamas  militants  after  they  infiltrated  Israel,  watch  his  burial  during  his  funeral  in  Be\u2019er  Sheva,  Israel,  Oct.  10,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Yousef  Masoud/The  New  York  Times)



















Mourners  at  the  funeral  of  Staff  Sgt.  Yuval  Ben  Yaakov,  an  Israeli  soldier  killed  when  Palestinian  militants  entered  Israel,  in  the  cemetery  in  Kfar  Menachem,  Israel,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Haiyun  Jiang/The  New  York  Times)



















A  woman  mourns  near  the  body  of  a  person  killed  after  Israel\u2019s  retaliation  in  Gaza  City,  on  Sunday,  Oct.  8,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















Mourners  at  the  funeral  for  Palestinians  killed  in  an  Israeli  airstrike  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















Mourners  at  the  funerals  of  Palestinians  killed  in  Israeli  airstrikes  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















The  bodies  of  two  young  girls  killed  in  an  Israeli  airstrike  are  carried  to  the  morgue  at  Al-Shifa  Hospital  in  Gaza  City  on  Monday,  Oct.  9,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Doug  Mills/The  New  York  Times)



















Mourners  at  the  funeral  of  Col.  Roi  Levy,  an  Israeli  soldier  killed  when  Palestinian  militants  infiltrated  Israel,  in  the  Mount  Herzl  military  cemetery  in  Jerusalem,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















The  body  of  a  Palestinian  man  killed  in  an  Israeli  airstrike  is  carried  to  the  morgue  at  Al-Shifa  Hospital  in  Gaza  City  on  Monday,  Oct.  9,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Sergey  Ponomarev/The  New  York  Times)



















A  man  holds  the  bloodied  vest  worn  by  Saeed  Al-Taweel,  one  of  three  Palestinian  journalists  killed  early  Tuesday,  Oct.  10,  2023,  in  an  Israeli  airstrike  on  Gaza  City,  according  to  the  Gazan  media  office. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















Mourners  of  Avi  Zakuto,  who  was  killed  by  Hamas  militants  after  they  infiltrated  Israel,  shovel  dirt  onto  his  grave  during  his  burial  in  Be\u2019er  Sheva,  Israel,  Oct.  10,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Avishag  Shaar-Yashuv/The  New  York  Times)



















Mourners  at  the  funeral  of  Palestinians  killed  in  Palestinians  killed  in  Israeli  airstrikes  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Avishag  Shaar-Yashuv/The  New  York  Times)



















Mourners  at  the  funeral  of  Palestinians  killed  in  Palestinians  killed  in  Israeli  airstrikes  in  Khan  Yunis,  Gaza,  Oct.  10,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Yousef  Masoud/The  New  York  Times)



















A  man  mourns  near  the  body  of  a  person  killed  after  Israel’s  retaliation  in  Gaza  City,  on  Sunday,  Oct.  8,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















The  body  of  a  man  killed  in  an  Israeli  airstrike  is  carried  to  the  morgue  at  Al-Shifa  Hospital  in  Gaza  City  on  Monday,  Oct.  9,  2023. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Tamir  Kalifa/The  New  York  Times)



















The  coffin  of  Col.  Roi  Levy,  an  Israeli  soldier  killed  when  Palestinian  militants  infiltrated  Israel,  is  carried  during  his  funeral  in  the  Mount  Herzl  military  cemetery  in  Jerusalem,  Monday,  Oct.  9,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Kenny  Holston/The  New  York  Times)



















Palestinian  journalists  grieve  over  the  bodies  of  Saeed  Al-Taweel  and  Muhammad  Sobh,  who  were  among  three  journalists  killed  early  Tuesday,  Oct.  10,  2023,  in  an  Israeli  airstrike  on  Gaza  City,  the  Gazan  media  office  said. ",palestine
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Samar  Abu  Elouf/The  New  York  Times)



















Israeli  soldiers  check  the  bodies  of  people  killed  in  Kfar  Azza,  a  village  just  across  the  border  from  Gaza  that  was  attacked  by  Palestinian  gunmen,  in  Israel,  Tuesday,  Oct.  10,  2023. ",israel
10,Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,10/10/2023," (Sergey  Ponomarev/The  New  York  Times)



















The  body  of  a  man  killed  in  an  Israeli  airstrike  is  carried  to  the  morgue  at  Al-Shifa  Hospital  in  Gaza  City  on  Monday,  Oct.  9,  2023. ",palestine
