,article_index,article_title,article_date,sentence,category,auto_tagged_voice
0,3,Empathy for Palestinians cannot mean sympathy for Hamas,10/15/2023," Netanyahu  thought  he  could  keep  Hamas  in  check  and  ignore  Palestinians,  who,  like  so  many  of  the  Israelis  slaughtered  in  the  south,  were  willing  to  take  risks  for  peace. ",israel,
1,5,Israelis struggle to lay their loved ones to rest,10/10/2023,"
At  least  900  people  have  been  killed,  the  Israeli  military  said  Monday. ",israel,PASSIVE
2,5,Israelis struggle to lay their loved ones to rest,10/10/2023,"
Seventeen  of  his  friends  and  neighbors  were  killed  in  the  attacks  Saturday. ",israel,PASSIVE
3,5,Israelis struggle to lay their loved ones to rest,10/10/2023," For  the  families  of  those  killed,  waiting  to  lay  them  to  rest  has  been  painful.
",israel,
4,5,Israelis struggle to lay their loved ones to rest,10/10/2023," At  one  cemetery  in  Jerusalem  on  Monday,  back-to-back  funerals  were  held  for  soldiers  killed  in  the  attacks.
",israel,
5,5,Israelis struggle to lay their loved ones to rest,10/10/2023, He  was  killed  Saturday  at  the  Holit  Kibbutz  in  the  first  wave  of  attacks. ,israel,PASSIVE
6,7,Israel ‘at war’ after unprecedented assault by Hamas militants from Gaza,10/7/2023," 
JERUSALEM  —  Israeli  Prime  Minister  Benjamin  Netanyahu  declared  Saturday  that  ""we  are  at  war""  after  Hamas  militants  from  Gaza  launched  a  surprise,  multipronged  attack  across  central  and  southern  Israel,  killing  an  estimated  250  Israelis  and  wounding  1,000  more.
",israel,ACTIVE
7,7,Israel ‘at war’ after unprecedented assault by Hamas militants from Gaza,10/7/2023," The  Palestinian  Health  Ministry  said  at  least  232  people  were  killed  and  1,697  wounded  in  Gaza.
",palestine,PASSIVE
8,9,"Roads choked as Gazans flee south, but many stay put",10/15/2023,"
""I  am  definitely  afraid,  very  afraid,  but  I  will  not  risk  the  lives  of  my  wife  and  children  on  the  way  to  the  south,""  he  said,  referring  to  reports  that  some  of  those  fleeing  were  killed  in  an  airstrike. ",palestine,PASSIVE
9,9,"Roads choked as Gazans flee south, but many stay put",10/15/2023,"
Israel  launched  a  military  campaign  against  Hamas  after  the  group  carried  out  unprecedented  attacks  on  Israel  Oct.  7,  killing  more  than  1,300  civilians  and  soldiers  and  taking  more  than  100  hostages.
",israel,ACTIVE
10,9,"Roads choked as Gazans flee south, but many stay put",10/15/2023,"
More  than  2,000  people  in  Gaza  have  been  killed,  including  724  children  and  more  than  8,700  have  been  wounded  since  clashes  began  Oct.  7,  according  to  the  Palestinian  Ministry  of  Health.
",palestine,PASSIVE
11,11,Empathy for Palestinians. Antipathy for Hamas.,10/16/2023," Netanyahu  thought  he  could  keep  Hamas  in  check  and  ignore  Palestinians,  who,  like  so  many  of  the  Israelis  slaughtered  in  the  south,  were  willing  to  take  risks  for  peace. ",israel,
12,13,A sense of solidarity among American Jews - for now,10/9/2023,"
Rabbi  Rick  Jacobs,  leader  of  Reform  Judaism,  the  largest  denomination  of  Judaism,  said  the  image  of  Jews  being  terrorized  and  murdered  ""does  tap  into  a  very  different  part  of  the  American  Jewish  psyche."" ",israel,
13,19,"As conflict burns, U.S. institutions criticized both for stances and for silence",10/15/2023,"
U.S.  companies,  politicians,  universities  and  school  districts  who  took  that  approach  found  themselves  under  fire  from  Jewish  groups  and  others  for  appearing  to  downplay  what  began  this  crisis  a  week  ago:  a  militant  attack  by  Hamas  on  Israel  that  killed  hundreds  of  civilians.
",israel,ACTIVE
14,19,"As conflict burns, U.S. institutions criticized both for stances and for silence",10/15/2023," A  statement  from  chief  human  resources  officer  Kathleen  Hogan  expressed  sympathy  for  Israelis  who  have  been  killed,  injured  or  lost  loved  ones  and  said  the  company's  main  focus  was  the  safety  of  its  nearly  3,000  workers  there. ",israel,PASSIVE
15,20,"Trump faults Netanyahu, calls Hezbollah ‘very smart’ amid Israel war",10/12/2023,"""

Israel  has  declared  a  state  of  war  and  called  up  360,000  reservists  after  a  surprise  attack  by  Hamas  militants  on  Saturday  killed  at  least  1,200  people  and  wounded  more  than  2,700.
",israel,ACTIVE
16,22,U.S. officials signal pressure on Israel to address Gaza crisis,10/15/2023,"

""Hamas  and  the  extreme  elements  of  Hamas  don't  represent  all  the  Palestinian  people,""  Biden  added,  referring  to  the  Palestinian  militant  group's  surprise  incursions  into  Israel  last  week,  which  killed  1,400  civilians  and  soldiers.
",israel,ACTIVE
17,22,U.S. officials signal pressure on Israel to address Gaza crisis,10/15/2023,"
The  Palestinian  Health  Ministry  said  Sunday  that  eight  days  of  Israeli  strikes  in  Gaza  had  killed  2,670  people  and  wounded  9,600.
",palestine,ACTIVE
18,22,U.S. officials signal pressure on Israel to address Gaza crisis,10/15/2023,"
On  Sunday,  a  State  Department  spokesperson  said  that  30  U.S.  citizens  had  been  killed  in  the  conflict,  and  another  13  remained  missing.
",israel,PASSIVE
19,22,U.S. officials signal pressure on Israel to address Gaza crisis,10/15/2023,"
Biden  has  stood  steadfastly  by  Israel  since  the  Hamas  attacks  just  over  a  week  ago,  even  as  Israel  has  launched  a  bombardment  of  airstrikes  on  Gaza  that  have  killed  more  than  2,600  people. ",palestine,ACTIVE
20,22,U.S. officials signal pressure on Israel to address Gaza crisis,10/15/2023,"
The  Magen  David  Adom  ambulance  service  of  Israel  said  one  person  was  killed  and  three  people  were  injured  in  the  strike  on  Shtula,  the  Times  of  Israel  reported.
",israel,PASSIVE
21,23,"As Israel ramps up war with Hamas, backers cheer destruction of Gaza",10/13/2023," More  than  1,300  people  were  killed  by  Hamas  militants. ",israel,PASSIVE
