article_index,article_title,article_date,sentence,category,auto_tagged_voice
2,"Israel's Challenge in Responding to a Brutal Surprise Attack; Hamas staged a shockingly successful operation against the Jewish state, but history shows that wars are seldom won by such tactics.",2023-10-12," But  in  per  capita  terms  it  is  much  larger:  Approximately  1,200  Israeli  deaths,  out  of  a  population  of  9.4  million,  is  equivalent  to  some  40,000  Americans  killed,  well  over  seven  times  the  number  killed  in  Pearl  Harbor  and  9/11  combined. ",israel,
2,"Israel's Challenge in Responding to a Brutal Surprise Attack; Hamas staged a shockingly successful operation against the Jewish state, but history shows that wars are seldom won by such tactics.",2023-10-12," But  in  per  capita  terms  it  is  much  larger:  Approximately  1,200  Israeli  deaths,  out  of  a  population  of  9.4  million,  is  equivalent  to  some  40,000  Americans  killed,  well  over  seven  times  the  number  killed  in  Pearl  Harbor  and  9/11  combined. ",israel,
3,Israel Readies Ground Assault in Gaza --- Netanyahu threatens a military response that will 'reverberate for generations',2023-10-10,"
For  Ohayon,  the  fight  is  personal:  On  Saturday,  he  found  the  body  of  a  friend  from  Jerusalem  among  those  killed  by  Hamas  fighters  at  a  desert  dance  party.
",israel,
3,Israel Readies Ground Assault in Gaza --- Netanyahu threatens a military response that will 'reverberate for generations',2023-10-10,"
At  least  900  Israelis  were  killed  during  the  weekend  assault,  state  broadcaster  Kan  reported. ",israel,PASSIVE
3,Israel Readies Ground Assault in Gaza --- Netanyahu threatens a military response that will 'reverberate for generations',2023-10-10," Smoke  rose  from  the  smoldering  rubble  of  the  city  police  station,  where  Israeli  security  forces  had  used  a  bulldozer  to  raze  the  building  over  the  weekend  and  kill  a  small  group  of  Palestinian  fighters.
",palestine,ACTIVE
3,Israel Readies Ground Assault in Gaza --- Netanyahu threatens a military response that will 'reverberate for generations',2023-10-10,"
He  said  dozens  were  killed  in  Sderot,  including  friends  and  neighbors. ",israel,PASSIVE
3,Israel Readies Ground Assault in Gaza --- Netanyahu threatens a military response that will 'reverberate for generations',2023-10-10,"
Meanwhile,  the  White  House  said  at  least  11  U.S.  citizens  had  been  killed  in  the  conflict,  with  other  citizens  unaccounted  for.
",israel,PASSIVE
8,How the West Helped Fund Hamas --- Militants filled coffers by skimming humanitarian assistance and taxing commerce,2023-10-20," Traces  of  the  international  assistance  effort  could  be  gleaned  from  the  material  left  behind  by  the  Oct.  7  attack,  when  Hamas  killed  at  least  1,400  Israelis  and  took  hostages,  according  to  Israeli  authorities.
",israel,ACTIVE
8,How the West Helped Fund Hamas --- Militants filled coffers by skimming humanitarian assistance and taxing commerce,2023-10-20,"
A  militant  who  died  in  an  assault  on  Kibbutz  Be'eri  the  kibbutz  in  southern  Israel,  where  over  100  were  killed,  carried  a  paycheck  from  the  Palestinian  interior  ministry,  according  to  a  photo  posted  by  South  First  Responders,  which  collects  footage  from  the  scene  of  the  massacres. ",both,ACTIVE
8,How the West Helped Fund Hamas --- Militants filled coffers by skimming humanitarian assistance and taxing commerce,2023-10-20,"
A  militant  who  died  in  an  assault  on  Kibbutz  Be'eri  the  kibbutz  in  southern  Israel,  where  over  100  were  killed,  carried  a  paycheck  from  the  Palestinian  interior  ministry,  according  to  a  photo  posted  by  South  First  Responders,  which  collects  footage  from  the  scene  of  the  massacres. ",both,PASSIVE
